curriculum_version,path_id,path_title,unit_sort_order,unit_id,unit_title,unit_description,unit_badge,phase_key,phase_title,is_review,is_phase_review,lesson_count,word_count,phrase_count,words
6.0.0,path1,Learn ASL,33,p1-review-describe_and_express,Describe & Express Checkpoint,"Show what you remember from Describe & Express (Size & Amount, Connect Ideas, Body & Wellness, Clothes & Accessories, Work Life, Devices & Apps, Countries).",Expression Checkpoint,describe_and_express,Describe & Express,True,True,1,24,3,"big, small, tall, hot, cold, fast, hard, almost, many, few, enough, more, less, and, but, or, so, with, without, also, because, same, different, if, imsad, whatareyoudoing, whereareyoufrom"
6.0.0,path1,Learn ASL,34,p1-u60,Animals,"Pets, farm, and wild animals.",Pet Friend,life_and_fluency,Life & Fluency,False,False,3,16,0,"dog, cat, horse, cow, pig, sheep, rabbit, duck, lion, tiger, elephant, bear, wolf, fox, eagle, monkey"
6.0.0,path1,Learn ASL,35,p1-u63,Weather,"Rain, snow, wind, and storms.",Forecaster,life_and_fluency,Life & Fluency,False,False,3,8,0,"rain, snow, wind, cloud, lightning, thunder, hot, cold"
6.0.0,path1,Learn ASL,36,p1-u62,Nature & Seasons,Outdoors through the year.,Outdoors,life_and_fluency,Life & Fluency,False,False,3,12,0,"tree, flower, mountain, river, ocean, beach, sun, moon, spring, summer, fall, winter"
6.0.0,path1,Learn ASL,37,p1-u65,Sports,Team and solo sports.,Sporty,life_and_fluency,Life & Fluency,False,False,3,8,0,"football, basketball, baseball, soccer, volleyball, hockey, tennis, golf"
6.0.0,path1,Learn ASL,38,p1-u66,Music & Art,"Draw, sing, dance, and play.",Creative,life_and_fluency,Life & Fluency,False,False,3,7,0,"draw, paint, sing, dance, music, guitar, piano"
6.0.0,path1,Learn ASL,39,p1-u35,Fruits & Veggies,Produce basics.,Fruity,life_and_fluency,Life & Fluency,False,False,3,14,0,"apple, banana, orangefruit, grapes, strawberry, cherry, pineapple, lemon, tomato, carrot, corn, onion, potato, lettuce"
6.0.0,path1,Learn ASL,40,p1-u37,Food & Drinks,"Meals, snacks, drinks, and cooking.",Protein,life_and_fluency,Life & Fluency,False,False,3,23,1,"meat, fish, egg, cheese, milk, butter, bacon, chicken, bread, pizza, cake, chocolate, water, coffee, tea, juice, thirsty, imthirsty, breakfast, lunch, dinner, full, delicious, cook"
6.0.0,path1,Learn ASL,41,p1-u71,Everyday Sayings,Common ASL expressions and big ideas.,Thinker,life_and_fluency,Life & Fluency,False,False,3,10,7,"can, cannot, maybe, important, rightcorrect, wrong, future, always, onemoretime, nevermind, letmesee, talktoyoulater, giveup, blowmind, allofsudden, wrapup, letgo"
6.0.0,path1,Learn ASL,42,p1-review-life_and_fluency,Life & Fluency Checkpoint,"Show what you remember from Life & Fluency (Animals, Weather, Nature & Seasons, Sports, Music & Art, Fruits & Veggies, Food & Drinks, Everyday Sayings).",Fluency Checkpoint,life_and_fluency,Life & Fluency,True,True,1,24,8,"dog, cat, horse, cow, pig, sheep, rabbit, duck, lion, tiger, elephant, bear, wolf, fox, eagle, monkey, rain, snow, wind, cloud, lightning, thunder, hot, cold, imthirsty, onemoretime, letmesee, talktoyoulater, blowmind, allofsudden, wrapup, letgo"
